extracted_interval_id,harford_stop_id,video_name,extracted_stop_start_time,extracted_stop_end_time,harford_stop_start_time,harford_stop_end_time,harford_duration_seconds_from_time_column,harford_duration_minutes_from_time_column,seconds_after_harford_start,seconds_before_harford_end
27,92,cortexvpu-01a-005-41884872_2026-06-19_02-28-45_481007.ts,2026-06-19 03:28:48.061111111,2026-06-19 03:28:49.092222222,2026-06-19 03:28:41.976,2026-06-19 03:29:20.976,39.0,0.65,6.085111,32.914888
28,93,cortexvpu-01a-005-41884872_2026-06-19_02-29-54_735489.ts,2026-06-19 03:29:55.063333333,2026-06-19 03:29:56.416666667,2026-06-19 03:29:35.624,2026-06-19 03:30:47.624,72.0,1.2,19.439333,52.560666
46,101,cortexvpu-01a-005-41884872_2026-06-19_03-19-09_569304.ts,2026-06-19 04:19:11.062222222,2026-06-19 04:19:16.475555556,2026-06-19 04:18:49.333,2026-06-19 04:21:39.333,170.0,2.8333333333333335,21.729222,148.270777
47,101,cortexvpu-01a-005-41884872_2026-06-19_03-19-17_245167.ts,2026-06-19 04:19:19.062222222,2026-06-19 04:19:28.475555556,2026-06-19 04:18:49.333,2026-06-19 04:21:39.333,170.0,2.8333333333333335,29.729222,140.270777
48,101,cortexvpu-01a-005-41884872_2026-06-19_03-19-58_012900.ts,2026-06-19 04:20:04.025555556,2026-06-19 04:20:05.765555556,2026-06-19 04:18:49.333,2026-06-19 04:21:39.333,170.0,2.8333333333333335,74.692555,95.307444
55,104,cortexvpu-01a-005-41884872_2026-06-19_03-58-57_887073.ts,2026-06-19 04:59:00.254444444,2026-06-19 04:59:10.501111111,2026-06-19 04:58:13.595,2026-06-19 04:59:55.595,102.0,1.7,46.659444,55.340555
60,106,cortexvpu-01a-005-41884872_2026-06-19_04-04-49_264511.ts,2026-06-19 05:04:51.062222222,2026-06-19 05:04:55.895555556,2026-06-19 05:04:44.454,2026-06-19 05:04:53.454,9.0,0.15,6.608222,2.391777
69,110,cortexvpu-01a-005-41884872_2026-06-19_04-54-02_279615.ts,2026-06-19 05:54:04.062222222,2026-06-19 05:54:05.512222222,2026-06-19 05:53:54.107,2026-06-19 05:54:04.107,10.0,0.16666666666666666,9.955222,0.044777
126,120,cortexvpu-01a-005-41884872_2026-06-19_11-21-59_669440.ts,2026-06-19 12:22:23.750000000,2026-06-19 12:22:25.833333333,2026-06-19 12:22:03.263,2026-06-19 12:23:00.263,57.0,0.95,20.487,36.513
142,123,cortexvpu-01a-005-41884872_2026-06-19_12-28-05_661644.ts,2026-06-19 13:28:05.166666667,2026-06-19 13:28:08.166666667,2026-06-19 13:28:04.968,2026-06-19 13:29:55.968,111.0,1.85,0.198666,110.801333
