group_id,group_start_time,group_end_time,group_duration_seconds,raw_detections_in_group,seconds_since_previous_group,first_video_in_group,last_video_in_group
1,2026-06-18 22:11:06.834444444,2026-06-18 22:11:22.268888889,15.434444445,1,,cortexvpu-01a-005-41884872_2026-06-18_21-10-34_935489.ts,cortexvpu-01a-005-41884872_2026-06-18_21-10-34_935489.ts
2,2026-06-18 22:14:30.294444444,2026-06-18 22:14:51.593333333,21.298888889,1,188.025555555,cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690.ts,cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690.ts
3,2026-06-18 22:15:18.062222222,2026-06-18 22:15:21.542222222,3.48,1,26.468888889,cortexvpu-01a-005-41884872_2026-06-18_21-15-16_657976.ts,cortexvpu-01a-005-41884872_2026-06-18_21-15-16_657976.ts
4,2026-06-18 23:30:55.811111111,2026-06-18 23:31:00.870000000,5.058888889,1,4534.268888889,cortexvpu-01a-005-41884872_2026-06-18_22-30-02_160727.ts,cortexvpu-01a-005-41884872_2026-06-18_22-30-02_160727.ts
5,2026-06-18 23:35:02.336666667,2026-06-18 23:35:04.495555556,2.158888889,1,241.466666667,cortexvpu-01a-005-41884872_2026-06-18_22-34-46_237795.ts,cortexvpu-01a-005-41884872_2026-06-18_22-34-46_237795.ts
6,2026-06-18 23:56:53.727777778,2026-06-18 23:57:11.611111111,17.883333333,1,1309.232222222,cortexvpu-01a-005-41884872_2026-06-18_22-56-41_282659.ts,cortexvpu-01a-005-41884872_2026-06-18_22-56-41_282659.ts
7,2026-06-19 00:00:16.062222222,2026-06-19 00:00:26.276666667,10.214444445,1,184.451111111,cortexvpu-01a-005-41884872_2026-06-18_23-00-14_426498.ts,cortexvpu-01a-005-41884872_2026-06-18_23-00-14_426498.ts
8,2026-06-19 00:08:20.996666667,2026-06-19 00:08:27.022222222,6.025555555,1,474.72,cortexvpu-01a-005-41884872_2026-06-18_23-07-20_425921.ts,cortexvpu-01a-005-41884872_2026-06-18_23-07-20_425921.ts
9,2026-06-19 00:08:33.416666667,2026-06-19 00:08:37.476666667,4.06,1,6.394444445,cortexvpu-01a-005-41884872_2026-06-18_23-08-31_404536.ts,cortexvpu-01a-005-41884872_2026-06-18_23-08-31_404536.ts
10,2026-06-19 00:16:35.061111111,2026-06-19 00:16:37.058888889,1.997777778,1,477.584444444,cortexvpu-01a-005-41884872_2026-06-18_23-16-32_638711.ts,cortexvpu-01a-005-41884872_2026-06-18_23-16-32_638711.ts
11,2026-06-19 00:16:37.094444444,2026-06-19 00:16:38.995555556,1.901111112,1,0.035555555,cortexvpu-01a-005-41884872_2026-06-18_23-16-35_645167.ts,cortexvpu-01a-005-41884872_2026-06-18_23-16-35_645167.ts
12,2026-06-19 00:17:37.098888889,2026-06-19 00:17:50.922222222,13.823333333,1,58.103333333,cortexvpu-01a-005-41884872_2026-06-18_23-16-41_666667.ts,cortexvpu-01a-005-41884872_2026-06-18_23-16-41_666667.ts
13,2026-06-19 00:17:52.062222222,2026-06-19 00:17:53.157777778,1.095555556,1,1.14,cortexvpu-01a-005-41884872_2026-06-18_23-17-50_223750.ts,cortexvpu-01a-005-41884872_2026-06-18_23-17-50_223750.ts
14,2026-06-19 02:37:53.138888889,2026-06-19 02:38:04.481111111,11.342222222,1,8399.981111111,cortexvpu-01a-005-41884872_2026-06-19_01-37-33_184857.ts,cortexvpu-01a-005-41884872_2026-06-19_01-37-33_184857.ts
15,2026-06-19 03:13:30.594444444,2026-06-19 03:13:51.506666666,20.912222222,1,2126.113333333,cortexvpu-01a-005-41884872_2026-06-19_02-12-45_376470.ts,cortexvpu-01a-005-41884872_2026-06-19_02-12-45_376470.ts
16,2026-06-19 03:13:57.063333333,2026-06-19 03:14:13.980000000,16.916666667,1,5.556666667,cortexvpu-01a-005-41884872_2026-06-19_02-13-56_339659.ts,cortexvpu-01a-005-41884872_2026-06-19_02-13-56_339659.ts
17,2026-06-19 03:15:19.381111111,2026-06-19 03:15:21.088888889,1.707777778,1,65.401111111,cortexvpu-01a-005-41884872_2026-06-19_02-15-14_651611.ts,cortexvpu-01a-005-41884872_2026-06-19_02-15-14_651611.ts
18,2026-06-19 03:15:34.093333333,2026-06-19 03:15:36.703333333,2.61,1,13.004444444,cortexvpu-01a-005-41884872_2026-06-19_02-15-31_651611.ts,cortexvpu-01a-005-41884872_2026-06-19_02-15-31_651611.ts
19,2026-06-19 03:15:45.062222222,2026-06-19 03:15:48.703333333,3.641111111,1,8.358888889,cortexvpu-01a-005-41884872_2026-06-19_02-15-43_658067.ts,cortexvpu-01a-005-41884872_2026-06-19_02-15-43_658067.ts
20,2026-06-19 03:16:22.091111111,2026-06-19 03:16:26.602222222,4.511111111,1,33.387777778,cortexvpu-01a-005-41884872_2026-06-19_02-16-17_658067.ts,cortexvpu-01a-005-41884872_2026-06-19_02-16-17_658067.ts
21,2026-06-19 03:17:39.064444444,2026-06-19 03:17:41.996666667,2.932222223,1,72.462222222,cortexvpu-01a-005-41884872_2026-06-19_02-17-39_896778.ts,cortexvpu-01a-005-41884872_2026-06-19_02-17-39_896778.ts
22,2026-06-19 03:18:18.114444444,2026-06-19 03:18:22.657777778,4.543333334,1,36.117777777,cortexvpu-01a-005-41884872_2026-06-19_02-18-05_664511.ts,cortexvpu-01a-005-41884872_2026-06-19_02-18-05_664511.ts
