metric,value
harford_time_offset,0 minutes
shared_window_start,2026-06-18 22:11:06.834444444
shared_window_end,2026-06-20 08:05:57.833333333
grouped_extracted_stoppages_in_window,257
harford_stoppages_in_window,86
grouped_starts_inside_harford_duration,33
grouped_intervals_overlapping_harford_duration,34
harford_stoppages_with_grouped_start_inside_duration,20
harford_stoppages_with_grouped_interval_overlap,21
mean_seconds_to_nearest_harford_start_from_grouped,731.8374150454397
median_seconds_to_nearest_harford_start_from_grouped,282.343333333
mean_seconds_to_nearest_grouped_start_from_harford,293.2541266150001
median_seconds_to_nearest_grouped_start_from_harford,38.6472777775
