delta_seconds_added_to_extracted_grouped_events,pearson_correlation,overlapping_marker_seconds,extracted_marker_seconds_after_shift,harford_marker_seconds,event_marker_width_seconds
-900,0.023039193074419317,649,11894,4970,60
-895,0.02164141180091384,639,11894,4970,60
-890,0.021361855546212765,637,11894,4970,60
-885,0.020662964909460055,632,11894,4970,60
-880,0.020243630527408407,629,11894,4970,60
-875,0.02192096805561495,641,11894,4970,60
-870,0.025135864984677493,664,11894,4970,60
-865,0.027931427531688383,684,11894,4970,60
-860,0.0304474338239982,702,11894,4970,60
-855,0.034500999517164115,731,11894,4970,60
-850,0.03911367771973226,764,11894,4970,60
-845,0.042608130903495835,789,11894,4970,60
-840,0.04540369345050667,809,11894,4970,60
-835,0.049736815398373456,840,11894,4970,60
-830,0.05323126858213708,865,11894,4970,60
-825,0.05560749674709626,882,11894,4970,60
-820,0.05602683112914788,885,11894,4970,60
-815,0.054349493600941386,873,11894,4970,60
-810,0.05197326543598213,856,11894,4970,60
-805,0.04861859037956914,832,11894,4970,60
-800,0.047500365360764775,824,11894,4970,60
-795,0.04736058723341426,823,11894,4970,60
-790,0.046661696596661494,818,11894,4970,60
-785,0.046242362214609777,815,11894,4970,60
-780,0.04582302783255824,812,11894,4970,60
-775,0.04358657779494963,796,11894,4970,60
-770,0.040511458993237694,774,11894,4970,60
-765,0.03855456521033012,760,11894,4970,60
-760,0.03827500895562899,758,11894,4970,60
-755,0.039672790229134385,768,11894,4970,60
-750,0.0426081309034958,789,11894,4970,60
-745,0.04624236221460993,815,11894,4970,60
-740,0.047779921615465897,826,11894,4970,60
-735,0.04540369345050667,809,11894,4970,60
-730,0.041350127757340954,780,11894,4970,60
-725,0.03897389959238172,763,11894,4970,60
-720,0.03715678393682459,750,11894,4970,60
-715,0.03603855891802018,742,11894,4970,60
-710,0.035619224535968524,739,11894,4970,60
-705,0.03631811517272121,744,11894,4970,60
-700,0.03631811517272113,744,11894,4970,60
-695,0.03603855891802,742,11894,4970,60
-690,0.033941887007761774,727,11894,4970,60
-685,0.031565658842802484,710,11894,4970,60
-680,0.03212477135220462,714,11894,4970,60
-675,0.0356192245359683,739,11894,4970,60
-670,0.04093079337528916,777,11894,4970,60
-665,0.04554347157785712,810,11894,4970,60
-660,0.04945725914367235,838,11894,4970,60
-655,0.05253237794538427,860,11894,4970,60
-650,0.05644616551119944,888,11894,4970,60
-645,0.058822393676158706,905,11894,4970,60
-640,0.061338399968468425,923,11894,4970,60
-635,0.06357485000607724,939,11894,4970,60
-630,0.06553174378898485,953,11894,4970,60
-625,0.06930575322744899,980,11894,4970,60
-620,0.07238087202916045,1002,11894,4970,60
-615,0.07210131577445934,1000,11894,4970,60
-610,0.07196153764710878,999,11894,4970,60
-605,0.07084331262830466,991,11894,4970,60
-600,0.06944553135479933,981,11894,4970,60
-595,0.0687466407180467,976,11894,4970,60
-590,0.06720908131719096,965,11894,4970,60
-585,0.06497263127958254,949,11894,4970,60
-580,0.06329529375137624,937,11894,4970,60
-575,0.06399418438812889,942,11894,4970,60
-570,0.06539196566163416,952,11894,4970,60
-565,0.06441351877018045,945,11894,4970,60
-560,0.06147817809581927,924,11894,4970,60
-555,0.05952128431291175,910,11894,4970,60
-550,0.05616660925649866,886,11894,4970,60
-545,0.052532377945384456,860,11894,4970,60
-540,0.05057548416247679,846,11894,4970,60
-535,0.04917770288897132,836,11894,4970,60
-530,0.047220809106063646,822,11894,4970,60
-525,0.04680147472401194,819,11894,4970,60
-520,0.04652191846931084,817,11894,4970,60
-515,0.04344679966759892,795,11894,4970,60
-510,0.040511458993237465,774,11894,4970,60
-505,0.038554565210329884,760,11894,4970,60
-500,0.037296562064175025,751,11894,4970,60
-495,0.034780555771865194,733,11894,4970,60
-490,0.033802108880411415,726,11894,4970,60
-485,0.03450099951716416,731,11894,4970,60
-480,0.035479446408617964,738,11894,4970,60
-475,0.036877227682123405,748,11894,4970,60
-470,0.03925345584708261,765,11894,4970,60
-465,0.042887687158196824,791,11894,4970,60
-460,0.04652191846931099,817,11894,4970,60
-455,0.05211304356333281,857,11894,4970,60
-450,0.057564390530004006,896,11894,4970,60
-445,0.06189751247787088,927,11894,4970,60
-440,0.06609085629838674,957,11894,4970,60
-435,0.06972508760950036,983,11894,4970,60
-430,0.073079762665913,1007,11894,4970,60
-425,0.07587532521292355,1027,11894,4970,60
-420,0.0764344377223256,1031,11894,4970,60
-415,0.0764344377223257,1031,11894,4970,60
-410,0.07643443772232567,1031,11894,4970,60
-405,0.07321954079326352,1008,11894,4970,60
-400,0.07098309075565513,992,11894,4970,60
-395,0.06916597510009831,979,11894,4970,60
-390,0.06623063442573728,958,11894,4970,60
-385,0.06385440626077835,941,11894,4970,60
-380,0.06189751247787091,927,11894,4970,60
-375,0.06203729060522145,928,11894,4970,60
-370,0.0649726312795827,949,11894,4970,60
-365,0.06860686259069641,975,11894,4970,60
-360,0.07461732206676915,1018,11894,4970,60
-355,0.07978911277873867,1055,11894,4970,60
-350,0.08482112536335776,1091,11894,4970,60
-345,0.09055202858472934,1132,11894,4970,60
-340,0.09404648176849288,1157,11894,4970,60
-335,0.0960033755514004,1171,11894,4970,60
-330,0.0983796037163596,1188,11894,4970,60
-325,0.1007558318813188,1205,11894,4970,60
-320,0.10369117255568013,1226,11894,4970,60
-315,0.10466961944713393,1233,11894,4970,60
-310,0.10131494439072095,1209,11894,4970,60
-305,0.09474537240524555,1162,11894,4970,60
