group_id,raw_detection_number_in_group,raw_video_name,raw_stop_start_time,raw_stop_end_time,raw_interval_seconds,seconds_from_group_start,group_start_time,group_end_time,group_duration_seconds,raw_detections_in_group
1,1,cortexvpu-01a-005-41884872_2026-06-18_21-10-34_935489.ts,2026-06-18 22:11:06.834444444,2026-06-18 22:11:22.268888889,15.434444,0.0,2026-06-18 22:11:06.834444444,2026-06-18 22:11:22.268888889,15.434444445,1
2,1,cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690.ts,2026-06-18 22:14:30.294444444,2026-06-18 22:14:51.593333333,21.298888,0.0,2026-06-18 22:14:30.294444444,2026-06-18 22:14:51.593333333,21.298888889,1
3,1,cortexvpu-01a-005-41884872_2026-06-18_21-15-16_657976.ts,2026-06-18 22:15:18.062222222,2026-06-18 22:15:21.542222222,3.48,0.0,2026-06-18 22:15:18.062222222,2026-06-18 22:15:21.542222222,3.48,1
4,1,cortexvpu-01a-005-41884872_2026-06-18_22-30-02_160727.ts,2026-06-18 23:30:55.811111111,2026-06-18 23:31:00.870000000,5.058888,0.0,2026-06-18 23:30:55.811111111,2026-06-18 23:31:00.870000000,5.058888889,1
5,1,cortexvpu-01a-005-41884872_2026-06-18_22-34-46_237795.ts,2026-06-18 23:35:02.336666667,2026-06-18 23:35:04.495555556,2.158888,0.0,2026-06-18 23:35:02.336666667,2026-06-18 23:35:04.495555556,2.158888889,1
6,1,cortexvpu-01a-005-41884872_2026-06-18_22-56-41_282659.ts,2026-06-18 23:56:53.727777778,2026-06-18 23:57:11.611111111,17.883333,0.0,2026-06-18 23:56:53.727777778,2026-06-18 23:57:11.611111111,17.883333333,1
7,1,cortexvpu-01a-005-41884872_2026-06-18_23-00-14_426498.ts,2026-06-19 00:00:16.062222222,2026-06-19 00:00:26.276666667,10.214444,0.0,2026-06-19 00:00:16.062222222,2026-06-19 00:00:26.276666667,10.214444445,1
8,1,cortexvpu-01a-005-41884872_2026-06-18_23-07-20_425921.ts,2026-06-19 00:08:20.996666667,2026-06-19 00:08:27.022222222,6.025555,0.0,2026-06-19 00:08:20.996666667,2026-06-19 00:08:27.022222222,6.025555555,1
9,1,cortexvpu-01a-005-41884872_2026-06-18_23-08-31_404536.ts,2026-06-19 00:08:33.416666667,2026-06-19 00:08:37.476666667,4.06,0.0,2026-06-19 00:08:33.416666667,2026-06-19 00:08:37.476666667,4.06,1
10,1,cortexvpu-01a-005-41884872_2026-06-18_23-16-32_638711.ts,2026-06-19 00:16:35.061111111,2026-06-19 00:16:37.058888889,1.9977770000000001,0.0,2026-06-19 00:16:35.061111111,2026-06-19 00:16:37.058888889,1.997777778,1
11,1,cortexvpu-01a-005-41884872_2026-06-18_23-16-35_645167.ts,2026-06-19 00:16:37.094444444,2026-06-19 00:16:38.995555556,1.901111,0.0,2026-06-19 00:16:37.094444444,2026-06-19 00:16:38.995555556,1.901111112,1
12,1,cortexvpu-01a-005-41884872_2026-06-18_23-16-41_666667.ts,2026-06-19 00:17:37.098888889,2026-06-19 00:17:50.922222222,13.823333,0.0,2026-06-19 00:17:37.098888889,2026-06-19 00:17:50.922222222,13.823333333,1
13,1,cortexvpu-01a-005-41884872_2026-06-18_23-17-50_223750.ts,2026-06-19 00:17:52.062222222,2026-06-19 00:17:53.157777778,1.095555,0.0,2026-06-19 00:17:52.062222222,2026-06-19 00:17:53.157777778,1.095555556,1
14,1,cortexvpu-01a-005-41884872_2026-06-19_01-37-33_184857.ts,2026-06-19 02:37:53.138888889,2026-06-19 02:38:04.481111111,11.342222,0.0,2026-06-19 02:37:53.138888889,2026-06-19 02:38:04.481111111,11.342222222,1
15,1,cortexvpu-01a-005-41884872_2026-06-19_02-12-45_376470.ts,2026-06-19 03:13:30.594444444,2026-06-19 03:13:51.506666666,20.912222,0.0,2026-06-19 03:13:30.594444444,2026-06-19 03:13:51.506666666,20.912222222,1
16,1,cortexvpu-01a-005-41884872_2026-06-19_02-13-56_339659.ts,2026-06-19 03:13:57.063333333,2026-06-19 03:14:13.980000000,16.916666,0.0,2026-06-19 03:13:57.063333333,2026-06-19 03:14:13.980000000,16.916666667,1
17,1,cortexvpu-01a-005-41884872_2026-06-19_02-15-14_651611.ts,2026-06-19 03:15:19.381111111,2026-06-19 03:15:21.088888889,1.707777,0.0,2026-06-19 03:15:19.381111111,2026-06-19 03:15:21.088888889,1.707777778,1
18,1,cortexvpu-01a-005-41884872_2026-06-19_02-15-31_651611.ts,2026-06-19 03:15:34.093333333,2026-06-19 03:15:36.703333333,2.61,0.0,2026-06-19 03:15:34.093333333,2026-06-19 03:15:36.703333333,2.61,1
19,1,cortexvpu-01a-005-41884872_2026-06-19_02-15-43_658067.ts,2026-06-19 03:15:45.062222222,2026-06-19 03:15:48.703333333,3.641111,0.0,2026-06-19 03:15:45.062222222,2026-06-19 03:15:48.703333333,3.641111111,1
20,1,cortexvpu-01a-005-41884872_2026-06-19_02-16-17_658067.ts,2026-06-19 03:16:22.091111111,2026-06-19 03:16:26.602222222,4.511111,0.0,2026-06-19 03:16:22.091111111,2026-06-19 03:16:26.602222222,4.511111111,1
21,1,cortexvpu-01a-005-41884872_2026-06-19_02-17-39_896778.ts,2026-06-19 03:17:39.064444444,2026-06-19 03:17:41.996666667,2.932222,0.0,2026-06-19 03:17:39.064444444,2026-06-19 03:17:41.996666667,2.932222223,1
22,1,cortexvpu-01a-005-41884872_2026-06-19_02-18-05_664511.ts,2026-06-19 03:18:18.114444444,2026-06-19 03:18:22.657777778,4.543333,0.0,2026-06-19 03:18:18.114444444,2026-06-19 03:18:22.657777778,4.543333334,1
23,1,cortexvpu-01a-005-41884872_2026-06-19_02-25-09_523403.ts,2026-06-19 03:25:13.060000000,2026-06-19 03:25:18.215555556,5.155555,0.0,2026-06-19 03:25:13.060000000,2026-06-19 03:25:18.215555556,5.155555556,1
24,1,cortexvpu-01a-005-41884872_2026-06-19_02-26-20_390324.ts,2026-06-19 03:26:22.610000000,2026-06-19 03:26:25.703333333,3.093333,0.0,2026-06-19 03:26:22.610000000,2026-06-19 03:26:25.703333333,3.093333333,1
25,1,cortexvpu-01a-005-41884872_2026-06-19_02-26-25_716133.ts,2026-06-19 03:26:27.062222222,2026-06-19 03:26:29.994444444,2.932222,0.0,2026-06-19 03:26:27.062222222,2026-06-19 03:26:29.994444444,2.932222222,1
26,1,cortexvpu-01a-005-41884872_2026-06-19_02-27-34_409488.ts,2026-06-19 03:27:37.093333333,2026-06-19 03:27:44.375555556,7.282222,0.0,2026-06-19 03:27:37.093333333,2026-06-19 03:27:44.375555556,7.282222223,1
