extracted_stop_id,stop_time,stop_end_time,source_detection_count,source_first_video_name,source_last_video_name,Time,Period,Type,Operator,Time type,Time.1,Group,Reason 1,Reason 2,Reason 3,Reason 4,Product,Batch,Bulk,Order,harford_original_time,harford_time,harford_stop_id,harford_duration_minutes,matched_harford_stop,time_difference_seconds,absolute_time_difference_seconds
1,2026-06-18 22:14:30.294444444,2026-06-18 22:14:51.593333333,1,cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690.ts,cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690.ts,,,,,,,,,,,,,,,,,,,,False,,
2,2026-06-18 23:30:55.811111111,2026-06-18 23:31:00.870000000,1,cortexvpu-01a-005-41884872_2026-06-18_22-30-02_160727.ts,cortexvpu-01a-005-41884872_2026-06-18_22-30-02_160727.ts,,,,,,,,,,,,,,,,,,,,False,,
3,2026-06-18 23:35:02.336666667,2026-06-18 23:35:04.495555556,1,cortexvpu-01a-005-41884872_2026-06-18_22-34-46_237795.ts,cortexvpu-01a-005-41884872_2026-06-18_22-34-46_237795.ts,,,,,,,,,,,,,,,,,,,,False,,
4,2026-06-18 23:56:53.727777778,2026-06-18 23:57:11.611111111,1,cortexvpu-01a-005-41884872_2026-06-18_22-56-41_282659.ts,cortexvpu-01a-005-41884872_2026-06-18_22-56-41_282659.ts,2026-06-18 23:57:42.475000,23:57:42 - 23:58:35,DB,Callum Gillan,Machine,0:00:53,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-18 23:57:42.475,2026-06-18 23:57:42.475,75.0,0.8833333333333333,True,48.747222222,48.747222222
5,2026-06-19 00:08:20.996666667,2026-06-19 00:08:27.022222222,1,cortexvpu-01a-005-41884872_2026-06-18_23-07-20_425921.ts,cortexvpu-01a-005-41884872_2026-06-18_23-07-20_425921.ts,,,,,,,,,,,,,,,,,,,,False,,
6,2026-06-19 00:17:37.098888889,2026-06-19 00:17:50.922222222,1,cortexvpu-01a-005-41884872_2026-06-18_23-16-41_666667.ts,cortexvpu-01a-005-41884872_2026-06-18_23-16-41_666667.ts,2026-06-19 00:18:34.908000,00:18:34 - 00:18:57,DB,Jean Cairns,Machine,0:00:23,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 00:18:34.908,2026-06-19 00:18:34.908,78.0,0.38333333333333336,True,57.809111111,57.809111111
7,2026-06-19 02:37:53.138888889,2026-06-19 02:38:04.481111111,1,cortexvpu-01a-005-41884872_2026-06-19_01-37-33_184857.ts,cortexvpu-01a-005-41884872_2026-06-19_01-37-33_184857.ts,2026-06-19 02:38:58.782000,02:38:58 - 02:39:52,DB,Jean Cairns,Machine,0:00:53,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 02:38:58.782,2026-06-19 02:38:58.782,88.0,0.8833333333333333,True,65.643111111,65.643111111
8,2026-06-19 03:13:30.594444444,2026-06-19 03:13:51.506666666,1,cortexvpu-01a-005-41884872_2026-06-19_02-12-45_376470.ts,cortexvpu-01a-005-41884872_2026-06-19_02-12-45_376470.ts,,,,,,,,,,,,,,,,,,,,False,,
9,2026-06-19 03:18:18.114444444,2026-06-19 03:18:22.657777778,1,cortexvpu-01a-005-41884872_2026-06-19_02-18-05_664511.ts,cortexvpu-01a-005-41884872_2026-06-19_02-18-05_664511.ts,,,,,,,,,,,,,,,,,,,,False,,
10,2026-06-19 03:27:37.093333333,2026-06-19 03:27:44.375555556,1,cortexvpu-01a-005-41884872_2026-06-19_02-27-34_409488.ts,cortexvpu-01a-005-41884872_2026-06-19_02-27-34_409488.ts,2026-06-19 03:28:15.752000,03:28:15 - 03:28:28,DB,Jean Cairns,Machine,0:00:13,,Shrinkwrapper,Infeed > Container,Fallen,TP13,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 03:28:15.752,2026-06-19 03:28:15.752,91.0,0.21666666666666667,True,38.658666667,38.658666667
