harford_stop_id,harford_stop_start_time,harford_stop_end_time,harford_interval_seconds,nearest_extracted_interval_id,nearest_extracted_stop_start_time,nearest_extracted_stop_end_time,nearest_extracted_active_delta_seconds,signed_nearest_extracted_active_delta_seconds,nearest_extracted_relation
74,2026-06-18 22:53:41.983,2026-06-18 22:53:56.983,15.0,2,2026-06-18 23:30:55.811111111,2026-06-18 23:31:00.870000000,2218.828111,2218.828111,extracted_after_harford
75,2026-06-18 23:57:42.475,2026-06-18 23:58:35.475,53.0,4,2026-06-18 23:56:53.727777778,2026-06-18 23:57:11.611111111,30.863888,-30.863888,extracted_before_harford
76,2026-06-19 00:00:44.902,2026-06-19 00:00:56.902,12.0,4,2026-06-18 23:56:53.727777778,2026-06-18 23:57:11.611111111,213.290888,-213.290888,extracted_before_harford
77,2026-06-19 00:01:16.414,2026-06-19 00:01:58.414,42.0,4,2026-06-18 23:56:53.727777778,2026-06-18 23:57:11.611111111,244.802888,-244.802888,extracted_before_harford
78,2026-06-19 00:18:34.908,2026-06-19 00:18:57.908,23.0,6,2026-06-19 00:17:37.098888889,2026-06-19 00:17:50.922222222,43.985777,-43.985777,extracted_before_harford
79,2026-06-19 00:46:51.894,2026-06-19 00:47:47.894,56.0,6,2026-06-19 00:17:37.098888889,2026-06-19 00:17:50.922222222,1740.971777,-1740.971777,extracted_before_harford
80,2026-06-19 00:51:26.065,2026-06-19 00:52:47.065,81.0,6,2026-06-19 00:17:37.098888889,2026-06-19 00:17:50.922222222,2015.142777,-2015.142777,extracted_before_harford
81,2026-06-19 01:06:50.913,2026-06-19 01:07:34.913,44.0,6,2026-06-19 00:17:37.098888889,2026-06-19 00:17:50.922222222,2939.990777,-2939.990777,extracted_before_harford
82,2026-06-19 01:27:07.559,2026-06-19 01:27:18.559,11.0,6,2026-06-19 00:17:37.098888889,2026-06-19 00:17:50.922222222,4156.636777,-4156.636777,extracted_before_harford
83,2026-06-19 01:27:37.043,2026-06-19 01:27:49.043,12.0,6,2026-06-19 00:17:37.098888889,2026-06-19 00:17:50.922222222,4186.120777,-4186.120777,extracted_before_harford
84,2026-06-19 02:17:56.256,2026-06-19 02:18:18.256,22.0,7,2026-06-19 02:37:53.138888889,2026-06-19 02:38:04.481111111,1174.882888,1174.882888,extracted_after_harford
85,2026-06-19 02:28:27.527,2026-06-19 02:28:35.527,8.0,7,2026-06-19 02:37:53.138888889,2026-06-19 02:38:04.481111111,557.611888,557.611888,extracted_after_harford
86,2026-06-19 02:28:53.735,2026-06-19 02:29:07.735,14.0,7,2026-06-19 02:37:53.138888889,2026-06-19 02:38:04.481111111,525.403888,525.403888,extracted_after_harford
87,2026-06-19 02:29:25.466,2026-06-19 02:29:35.466,10.0,7,2026-06-19 02:37:53.138888889,2026-06-19 02:38:04.481111111,497.672888,497.672888,extracted_after_harford
88,2026-06-19 02:38:58.782,2026-06-19 02:39:51.782,53.0,7,2026-06-19 02:37:53.138888889,2026-06-19 02:38:04.481111111,54.300888,-54.300888,extracted_before_harford
89,2026-06-19 02:49:22.237,2026-06-19 02:49:42.237,20.0,7,2026-06-19 02:37:53.138888889,2026-06-19 02:38:04.481111111,677.755888,-677.755888,extracted_before_harford
90,2026-06-19 03:25:29.939,2026-06-19 03:25:43.939,14.0,10,2026-06-19 03:27:37.093333333,2026-06-19 03:27:44.375555556,113.154333,113.154333,extracted_after_harford
91,2026-06-19 03:28:15.752,2026-06-19 03:28:28.752,13.0,10,2026-06-19 03:27:37.093333333,2026-06-19 03:27:44.375555556,31.376444,-31.376444,extracted_before_harford
92,2026-06-19 03:28:41.976,2026-06-19 03:29:20.976,39.0,10,2026-06-19 03:27:37.093333333,2026-06-19 03:27:44.375555556,57.600444,-57.600444,extracted_before_harford
93,2026-06-19 03:29:35.624,2026-06-19 03:30:47.624,72.0,11,2026-06-19 03:31:49.432222222,2026-06-19 03:32:02.933333333,61.808222,61.808222,extracted_after_harford
94,2026-06-19 03:32:41.108,2026-06-19 03:34:07.108,86.0,11,2026-06-19 03:31:49.432222222,2026-06-19 03:32:02.933333333,38.174666,-38.174666,extracted_before_harford
95,2026-06-19 03:38:38.193,2026-06-19 03:40:03.193,85.0,12,2026-06-19 03:37:45.667777778,2026-06-19 03:37:50.662222222,47.530777,-47.530777,extracted_before_harford
