video_name,stop_clip_count
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690.ts,2
cortexvpu-01a-005-41884872_2026-06-18_22-30-02_160727.ts,1
cortexvpu-01a-005-41884872_2026-06-18_22-34-46_237795.ts,1
cortexvpu-01a-005-41884872_2026-06-18_22-56-41_282659.ts,1
cortexvpu-01a-005-41884872_2026-06-18_23-07-20_425921.ts,1
cortexvpu-01a-005-41884872_2026-06-18_23-16-41_666667.ts,1
cortexvpu-01a-005-41884872_2026-06-19_01-37-33_184857.ts,1
cortexvpu-01a-005-41884872_2026-06-19_02-12-45_376470.ts,1
cortexvpu-01a-005-41884872_2026-06-19_02-18-05_664511.ts,1
cortexvpu-01a-005-41884872_2026-06-19_02-27-34_409488.ts,1
cortexvpu-01a-005-41884872_2026-06-19_02-31-03_489790.ts,1
cortexvpu-01a-005-41884872_2026-06-19_02-36-39_544404.ts,1
cortexvpu-01a-005-41884872_2026-06-19_03-04-57_791037.ts,1
cortexvpu-01a-005-41884872_2026-06-19_03-09-41_754057.ts,1
cortexvpu-01a-005-41884872_2026-06-19_03-38-15_886285.ts,1
cortexvpu-01a-005-41884872_2026-06-19_03-50-44_016667.ts,1
cortexvpu-01a-005-41884872_2026-06-19_03-53-03_022603.ts,1
cortexvpu-01a-005-41884872_2026-06-19_04-07-09_050920.ts,1
cortexvpu-01a-005-41884872_2026-06-19_04-10-42_180428.ts,1
cortexvpu-01a-005-41884872_2026-06-19_04-14-15_009330.ts,1
cortexvpu-01a-005-41884872_2026-06-19_04-29-17_198079.ts,1
cortexvpu-01a-005-41884872_2026-06-19_04-37-34_180410.ts,1
cortexvpu-01a-005-41884872_2026-06-19_04-43-29_313721.ts,1
cortexvpu-01a-005-41884872_2026-06-19_04-56-24_384143.ts,1
cortexvpu-01a-005-41884872_2026-06-19_05-05-36_382241.ts,1
cortexvpu-01a-005-41884872_2026-06-19_05-17-10_371736.ts,1
cortexvpu-01a-005-41884872_2026-06-19_05-24-16_532165.ts,1
cortexvpu-01a-005-41884872_2026-06-19_05-27-49_556459.ts,1
cortexvpu-01a-005-41884872_2026-06-19_05-30-20_025811.ts,1
cortexvpu-01a-005-41884872_2026-06-19_05-38-56_582628.ts,1
cortexvpu-01a-005-41884872_2026-06-19_06-44-13_891712.ts,1
cortexvpu-01a-005-41884872_2026-06-19_07-07-55_096132.ts,1
cortexvpu-01a-005-41884872_2026-06-19_07-46-37_333333.ts,1
cortexvpu-01a-005-41884872_2026-06-19_08-06-36_619355.ts,1
cortexvpu-01a-005-41884872_2026-06-19_08-23-03_524141.ts,1
cortexvpu-01a-005-41884872_2026-06-19_09-18-59_591494.ts,1
cortexvpu-01a-005-41884872_2026-06-19_09-29-14_563219.ts,1
cortexvpu-01a-005-41884872_2026-06-19_09-59-14_567153.ts,1
cortexvpu-01a-005-41884872_2026-06-19_10-26-59_681586.ts,1
cortexvpu-01a-005-41884872_2026-06-19_10-38-35_581824.ts,1
cortexvpu-01a-005-41884872_2026-06-19_11-30-07_756523.ts,1
cortexvpu-01a-005-41884872_2026-06-19_11-35-55_672958.ts,1
cortexvpu-01a-005-41884872_2026-06-19_11-50-27_708894.ts,1
cortexvpu-01a-005-41884872_2026-06-19_11-54-19_746414.ts,1
cortexvpu-01a-005-41884872_2026-06-19_11-59-57_720287.ts,1
cortexvpu-01a-005-41884872_2026-06-19_12-09-14_766334.ts,1
cortexvpu-01a-005-41884872_2026-06-19_12-26-09_772049.ts,1
cortexvpu-01a-005-41884872_2026-06-19_12-39-53_774504.ts,1
cortexvpu-01a-005-41884872_2026-06-19_13-17-18_821097.ts,1
cortexvpu-01a-005-41884872_2026-06-19_13-22-18_900000.ts,1
cortexvpu-01a-005-41884872_2026-06-19_13-52-19_874582.ts,1
cortexvpu-01a-005-41884872_2026-06-19_13-55-25_943526.ts,1
cortexvpu-01a-005-41884872_2026-06-19_14-07-01_945370.ts,1
cortexvpu-01a-005-41884872_2026-06-19_14-17-09_945733.ts,1
cortexvpu-01a-005-41884872_2026-06-19_15-28-03_933333.ts,1
cortexvpu-01a-005-41884872_2026-06-19_15-56-16_087857.ts,1
cortexvpu-01a-005-41884872_2026-06-19_16-00-08_101391.ts,1
cortexvpu-01a-005-41884872_2026-06-19_16-12-44_115306.ts,1
cortexvpu-01a-005-41884872_2026-06-19_16-19-22_138442.ts,1
cortexvpu-01a-005-41884872_2026-06-19_16-41-27_204708.ts,1
cortexvpu-01a-005-41884872_2026-06-19_16-47-15_190690.ts,1
cortexvpu-01a-005-41884872_2026-06-19_16-52-09_121093.ts,1
cortexvpu-01a-005-41884872_2026-06-19_17-18-51_254206.ts,1
cortexvpu-01a-005-41884872_2026-06-20_05-52-58_200000.ts,1
cortexvpu-01a-005-41884872_2026-06-20_06-26-26_066667.ts,1
cortexvpu-01a-005-41884872_2026-06-20_07-05-38_033333.ts,1
