data_present,start,end,valid_cycles,state,video_name,video_path,source,status,reason,n_cycles,cycle_frequency_hz,mean_cycle_frames,cycle_cv,reference_cycle_count,reference_cycle_frequency_hz,reference_mean_cycle_frames,cycle_frequency_ratio_to_reference,matches_reference_frequency,duration_s,fps,n_frames,detection_second,stoppage_context_clip_path,phase_error,inferred_stop_time,previous_video_name,next_video_name,gap_seconds_after_previous_video
y,2026-06-19_15-01-49,2026-06-19_15-03-04,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_15-01-49_004271.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_15-01-49_004271.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-01-49_004271.ts,ok,,9,0.5672268907563025,105.77777777777776,0.0039303123810279,5.0,0.5675655222864062,273.4,0.9994033613445376,y,75.58333333333333,60.0,4535,1.2166666666666666,,,,,,
y,2026-06-19_15-03-04,2026-06-19_15-05-01,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_15-03-04_400000.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_15-03-04_400000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-03-04_400000.ts,ok,,5,0.5660377358490566,106.0,0.0133416373807523,5.0,0.5675655222864062,273.4,0.9973081761006288,y,116.63333333333334,60.0,6998,9.45,,,,,,
y,2026-06-19_15-04-58,2026-06-19_15-06-54,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_15-04-58_021450.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_15-04-58_021450.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-04-58_021450.ts,ok,,9,0.5660377358490566,106.0,0.0077027979332077,5.0,0.5675655222864062,273.4,0.9973081761006288,y,116.66666666666669,60.0,7000,1.1166666666666667,,,,,,
y,2026-06-19_15-06-54,2026-06-19_15-08-50,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_15-06-54_055726.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_15-06-54_055726.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-06-54_055726.ts,ok,,3,0.5660377358490566,106.0,0.0,5.0,0.5675655222864062,273.4,0.9973081761006288,y,116.6,60.0,6996,0.0833333333333333,,,,,,
y,2026-06-19_15-08-50,2026-06-19_15-10-46,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_15-08-50_015167.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_15-08-50_015167.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-08-50_015167.ts,ok,,9,0.5672268907563025,105.77777777777776,0.0059420737914274,5.0,0.5675655222864062,273.4,0.9994033613445376,y,116.65,60.0,6999,0.4,,,,,,
y,2026-06-19_15-10-46,2026-06-19_15-12-42,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_15-10-46_070918.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_15-10-46_070918.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-10-46_070918.ts,ok,,9,0.5660377358490566,106.0,0.0062893081760412,5.0,0.5675655222864062,273.4,0.9973081761006288,y,116.58333333333331,60.0,6995,0.7666666666666667,,,,,,
y,2026-06-19_15-12-41,2026-06-19_15-14-38,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_15-12-41_987241.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_15-12-41_987241.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-12-41_987241.ts,ok,,9,0.5672268907563025,105.77777777777776,0.0059420737914274,5.0,0.5675655222864062,273.4,0.9994033613445376,y,116.68333333333334,60.0,7001,1.15,,,,,,
y,2026-06-19_15-14-38,2026-06-19_15-16-34,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_15-14-38_088252.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_15-14-38_088252.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-14-38_088252.ts,ok,,13,0.5660377358490566,106.0,0.0037003044365346,5.0,0.5675655222864062,273.4,0.9973081761006288,y,116.58333333333331,60.0,6995,0.0833333333333333,,,,,,
y,2026-06-19_15-16-34,2026-06-19_15-18-30,y,typical_motion,cortexvpu-01a-005-41884872_2026-06-19_15-16-34_006640.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_15-16-34_006640.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-16-34_006640.ts,ok,,9,0.5672268907563025,105.77777777777776,0.0039303123810279,5.0,0.5675655222864062,273.4,0.9994033613445376,y,116.63333333333334,60.0,6998,0.4166666666666667,,,,,,
y,2026-06-19_15-18-30,2026-06-19_15-20-26,n,present_no_valid_cycles,cortexvpu-01a-005-41884872_2026-06-19_15-18-30_055714.ts,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\downloaded_videos\cortexvpu-01a-005-41884872_2026-06-19_15-18-30_055714.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-18-30_055714.ts,no_valid_cycles,"found 0 cycle(s), need 2",0,,,,5.0,0.5675655222864062,273.4,,,116.63333333333334,60.0,6998,0.5833333333333334,C:\Users\TimKitchen\OneDrive\OneDrive - PurpleSector\03 Project Specific Documents\24H_INSIGHTS\24H_Insights\video_coverage_log\phase_aware_motion_cv_log_output\s3_run\stoppage_context_clips\cortexvpu-01a-005-41884872_2026-06-19_15-18-30_055714__context.mp4,,,,,
