filename,source,processed_at
cortexvpu-01a-005-41884872_2026-06-20_08-00-41_769487.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-20_08-00-41_769487.ts,2026-07-02T19:33:53.693815
cortexvpu-01a-005-41884872_2026-06-20_08-02-37_756125.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-20_08-02-37_756125.ts,2026-07-02T19:34:08.815896
cortexvpu-01a-005-41884872_2026-06-20_08-04-33_804823.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-20_08-04-33_804823.ts,2026-07-02T19:34:30.780889
cortexvpu-01a-005-41884872_2026-06-20_08-06-29_740230.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-20_08-06-29_740230.ts,2026-07-02T20:01:47.917649
cortexvpu-01a-005-41884872_2026-06-20_08-08-25_734668.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-20_08-08-25_734668.ts,2026-07-02T20:02:02.930672
cortexvpu-01a-005-41884872_2026-06-20_08-10-21_837498.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-20_08-10-21_837498.ts,2026-07-02T20:02:24.204950
cortexvpu-01a-005-41884872_2026-06-19_15-01-49_004271.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-01-49_004271.ts,2026-07-02T20:07:35.266515
cortexvpu-01a-005-41884872_2026-06-19_15-03-04_400000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-03-04_400000.ts,2026-07-02T20:07:51.675028
cortexvpu-01a-005-41884872_2026-06-19_15-04-58_021450.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-04-58_021450.ts,2026-07-02T20:08:18.545638
cortexvpu-01a-005-41884872_2026-06-19_15-06-54_055726.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_15-06-54_055726.ts,2026-07-02T20:08:34.538255
